Symbol,Company Name,Market Capitalization,Sector,Industry,Dividend Yield,Beta
DIAX,Nuveen Dow 30SM Dynamic Overwrite Fund,$500.8M,,,7.93%,1
DIDAF,DISTRIBUIDORA INTERNACIONAL DE SHARES,$872.6M,,,--,0.3
DIGAF,Digatrade Financial Corp,$893.8K,Financials,Capital Markets,--,1.3
DIGI,Digitiliti Incorporated,$600.8K,Information Technology,IT Services,--,1.6
DIGP,Digipath Inc,$2.2M,Health Care,Health Care Providers & Services,--,1.8
DIIBF,Dorel Industries Inc (USA),$165.2M,Consumer Discretionary,Household Durables,--,3.2
DIISF,DIRECT LINE INS GROUP PLC SHS,$4.6B,,,--,0.4
DIMC,Dimeco Inc,$87.0M,Financials,Banks,3.70%,0.5
DIN,Dine Brands Global Inc,$679.5M,Consumer Discretionary,"Hotels, Restaurants & Leisure",--,1.7
DINRF,SCREEN HLDGS CO LTD SHS NEW,$1.9B,,,--,1.3
DIOD,Diodes Incorporated,$2.6B,Information Technology,Semiconductors & Semiconductor Equipment,--,1.3
DION,Dionics Inc,$425.2K,Industrials,Commercial Services & Supplies,--,1.6
DIOSF,DIOS EXPLORATION INC,$11.8M,Materials,Metals & Mining,--,2.1
DIPGF,DATANG INTL PWR GENERATN LTD SHS H,$672.2M,,,--,0.8
DIRV,Directview Holdings Inc,$54.8K,,,--,1.2
DIS,Walt Disney Co,$213.1B,Communication Services,Entertainment,--,1.1
DISCA,Discovery Inc,$3.4B,Communication Services,Media,--,1.5
DISCB,DISCOVERY INC,$251.7M,Communication Services,Media,--,1.5
DISCK,DISCOVERY INC,$6.5B,Communication Services,Media,--,1.5
DISH,DISH Network Corp,$17.5B,Communication Services,Media,--,1.7
DISPF,DISCO CORP SHS,$9.0B,,,--,1.5
DIT,AMCON Distributing Co,$36.9M,Consumer Discretionary,Distributors,1.10%,0.2
DITHF,DS SMITH PLC SHS,$4.7B,,,--,1.1
DITTF,DAITO TRUST CONSTRUCTION CO SHS,$6.5B,,,6.41%,0.3
DJCO,Daily Journal Corporation,$388.8M,Communication Services,Media,--,0.8
DJIFF,DAJIN LITHIUM CORP,$7.2M,Materials,Metals & Mining,--,0.8
DJSP,DJSP Enterprises Inc,$1.3K,,,--,--
DK,Delek US Holdings Inc,$1.4B,Energy,"Oil, Gas & Consumable Fuels",6.74%,2
DKAM,"Drinks Americas Holdings, Ltd.",$278.3K,Consumer Staples,Beverages,--,-0.1
DKGDF,DUKANG DISTILLERS HOLDINGS LTD SHS,$4.4M,,,--,0.5
DKGH,DKG Capital Inc,$521.3K,Consumer Discretionary,"Hotels, Restaurants & Leisure",--,-1.1
DKILF,DAIKIN INDUSTRIES LTD SHS,$52.8B,,,--,1.1
DKL,Delek Logistics Partners LP,$763.0M,Energy,"Oil, Gas & Consumable Fuels",13.80%,2.9
DKMR,Duke Mountain Resources Inc,$107.2M,,,--,--
DKNG,Draftkings Inc,$12.7B,,,--,--
DKS,Dicks Sporting Goods Inc,$4.0B,Consumer Discretionary,Specialty Retail,2.82%,1.6
DKTS,Top Shelf Brands Holdings Corp,$191.8K,Consumer Staples,Beverages,--,--
DL,China Distance Education Hldgs Ltd (ADR),$304.5M,Consumer Discretionary,Diversified Consumer Services,--,1
DLA,"Delta Apparel, Inc.",$87.0M,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",--,1.3
DLAD,"DealerAdvance, Inc.",$986.3K,Information Technology,Software,--,--
DLAKY,Deutsche Lufthansa AG (ADR),$4.7B,Industrials,Airlines,8.99%,1.1
DLB,"Dolby Laboratories, Inc.",$6.9B,Information Technology,"Electronic Equipment, Instruments & Components",1.30%,0.9
DLCR,Kibush Capital Corp,$975.4K,,,--,-1
DLEXY,Datalex plc (ADR),$58.6M,Information Technology,Software,--,--
DLGEF,DIGITAL GARAGE INC TOKYO SHS,$1.5B,,,--,0.9
DLGI,"DataLogic International, Inc.",$16.3K,Information Technology,IT Services,--,--
DLGNF,DIALOG SEMICONDUCTOR PLC SHS,$3.3B,,,--,1.1
DLHC,DLH Holdings Corp,$110.6M,Industrials,Professional Services,--,1.2
DLKGF,DELEK GROUP LTD SHS,$290.5M,,,--,2.9
DLMAF,DOLLARAMA INC,$11.1B,Consumer Discretionary,Multiline Retail,0.36%,0.8
DLNG,Dynagas LNG Partners LP,$164.0M,Energy,"Oil, Gas & Consumable Fuels",--,2
DLNG-B,Dynagas LNG Partners LP,--,Energy,"Oil, Gas & Consumable Fuels",11.99%,--
DLOC,Digital Locations Inc,$283.7K,Information Technology,Software,--,2.5
DLOV,Daleco Resources Corporation,$21.7K,Energy,"Oil, Gas & Consumable Fuels",--,2.9
DLPH,Delphi Technologies PLC,$1.4B,Consumer Discretionary,Auto Components,--,--
DLPN,Dolphin Entertainment Inc,$30.0M,Communication Services,Entertainment,--,5
DLPX,"Delphax Technologies, Inc.",$11.7K,Industrials,Machinery,--,1.2
DLR,"Digital Realty Trust, Inc.",$39.1B,Real Estate,Equity Real Estate Investment Trusts (REITs),3.09%,0.2
DLR-C,Digital Realty Trust Inc,--,Real Estate,Equity Real Estate Investment Trusts (REITs),6.29%,--
DLR-G,Digital Realty Trust Inc,--,Real Estate,Equity Real Estate Investment Trusts (REITs),5.70%,--
DLR-I,Digital Realty Trust Inc,--,Real Estate,Equity Real Estate Investment Trusts (REITs),6.27%,--
DLR-J,Digital Realty Trust Inc,--,Real Estate,Equity Real Estate Investment Trusts (REITs),5.10%,--
DLR-K,Digital Realty Trust Inc,--,Real Estate,Equity Real Estate Investment Trusts (REITs),5.41%,--
DLR-L,Digital Realty Trust Inc,--,Real Estate,Equity Real Estate Investment Trusts (REITs),4.97%,--
DLTA,Delta Oil & Gas Inc,$136.7K,Energy,"Oil, Gas & Consumable Fuels",--,--
DLTH,Duluth Holdings Inc,$249.0M,Consumer Discretionary,Internet & Direct Marketing Retail,--,1.1
DLTI,DLT Resolution Inc,$32.6M,,,--,1.9
DLTR,"Dollar Tree, Inc.",$22.8B,Consumer Discretionary,Multiline Retail,--,0.6
DLX,Deluxe Corporation,$900.6M,Industrials,Commercial Services & Supplies,5.62%,1.4
DLY,DoubleLine Yield Opportunities Fund,$861.1M,,,7.66%,--
DLYT,Dais Analytic Corp,$111.2K,,,--,-0.7
DMAC,DiaMedica Therapeutics Inc,$86.2M,Health Care,Biotechnology,--,2.2
DMB,BNY Mellon Municipal Bond InfrstrcFndInc,$248.4M,,,4.69%,0.3
DMCD,Detwiler Fenton Group Inc,$78.1K,Financials,Diversified Financial Services,--,1.7
DMDD,Diamond Discoveries International Corp.,$627.6K,Materials,Metals & Mining,--,-0.9
DMF,Bny Mellon Municipal Income Inc,$178.4M,,,4.88%,0.2
DMHI,Dmh International Incorporated,$.0K,,,--,--
DMKBA,Denmark Bancshares Inc,$73.2M,Financials,Banks,2.53%,-0.1
DMLP,Dorchester Minerals LP,$386.7M,Energy,"Oil, Gas & Consumable Fuels",16.40%,1.5
DMO,Western Asset Mortgage Opportnty Fnd Inc,$146.7M,,,10.77%,0.6
DMPI,DelMar Pharmaceuticals Inc,$12.8M,Health Care,Biotechnology,--,2.1
DMRC,Digimarc Corp,$183.1M,Information Technology,Software,--,1.1
DMS,Digital Media Solutions Inc,$391.9M,,,--,--
DMSI,Coded Growth Innovation Center Inc,$.0K,,,--,--
DMTGF,DAILY MAIL & GEN TR PLC ORD NON VTG A,$1.9B,,,3.31%,0.6
DMTK,DermTech Inc,$186.5M,Health Care,Biotechnology,--,--
DMYT,dMY Technology Group Inc,$311.9M,,,--,--
DNACF,DENA CO LTD TOKYO SHS,$1.6B,,,--,0.5
DNAG,"DNAPrint Genomics, Inc.",$.0K,Health Care,Biotechnology,--,-5.3
DNAX,"DNA Brands, Inc.",$169.4K,Consumer Staples,Beverages,--,-0.7
DNB,Dun & Bradstreet Holdings Inc,$10.8B,,,--,--
DNDT,DND Technologies Inc,$610.1K,Consumer Staples,Personal Products,--,0.6
DNGDF,DYNACOR GOLD MINES INC,$62.8M,Materials,Metals & Mining,2.68%,0.8
DNGFF,DONGFANG ELECTRIC MACH CO LTD SHS H,$258.4M,,,--,1.1
DNI,Dividend And Income Fund  Inc,$133.3M,,,10.55%,1.3
DNJR,Golden Bull Ltd,$28.5M,Financials,Consumer Finance,--,--
DNK,Phoenix Tree Holdings Ltd,$1.6B,,,--,--
DNKN,Dunkin Brands Group Inc,$5.7B,Consumer Discretionary,"Hotels, Restaurants & Leisure",2.32%,0.9
DNLI,Denali Therapeutics Inc,$2.5B,Health Care,Biotechnology,--,--
DNN,Denison Mines Corp,$289.5M,Energy,"Oil, Gas & Consumable Fuels",--,1.7
DNOW,NOW Inc,$964.1M,Industrials,Trading Companies & Distributors,--,1.9
DNP,DNP Select Income Fund Inc.,$3.3B,,,7.16%,0.6
DNPCF,DAI NIPPON PRINTING CO LTD SHS,$7.4B,,,--,1
DNPUF,DAINIPPON SUMITOMO PHARMA CO ORD,$5.0B,,,--,0.7
DNR,Denbury Resources Inc.,$121.7M,Energy,"Oil, Gas & Consumable Fuels",--,4.1
DNRG,Dominovas Energy Corp,$84.0K,Industrials,Electrical Equipment,--,3.1
DNSKF,DANSKE BK A/S SHS,$13.6B,,,8.08%,1.1
DNXG,Dongxing International Inc,--,,,--,--
DOC,Physicians Realty Trust,$3.6B,Real Estate,Equity Real Estate Investment Trusts (REITs),5.21%,0.8
DOCU,Docusign Inc,$36.4B,Information Technology,Software,--,--
DOFSQ,Diamond Offshore Drilling Inc,$34.4M,Energy,Energy Equipment & Services,--,1
DOGZ,Dogness International Corp,$31.6M,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",--,--
DOMO,Domo Inc,$932.0M,Information Technology,Software,--,--
DOMR,Dominion Resources Black Warrior Trust,$59.7K,Energy,"Oil, Gas & Consumable Fuels",--,--
DOOR,Masonite International Corp,$2.1B,Industrials,Building Products,--,1.8
DORM,Dorman Products Inc.,$2.4B,Consumer Discretionary,Auto Components,--,0.8
DOV,Dover Corp,$15.2B,Industrials,Machinery,1.86%,1.4
DOW,Dow Inc,$31.7B,Materials,Chemicals,6.31%,--
DOX,Amdocs Limited,$8.1B,Information Technology,IT Services,2.19%,0.7
DOYU,DouYu International Holdings Ltd (ADR),$3.7B,Communication Services,Entertainment,--,--
DPAT,Dental Patient Care America Inc,$4.3M,Health Care,Health Care Providers & Services,--,--
DPBSF,DAMPSKIBSSELSKABET NORDEN A/S SHS,$499.1M,,,2.97%,0.8
DPDW,Deep Down Inc,$5.0M,Energy,Energy Equipment & Services,--,0.4
DPFD,"Deep Field Technologies, Inc.",$23.1K,,,--,--
DPG,Duff n Phelps Utlty n Infrstrctr Fnd Inc,$438.9M,,,11.74%,1.3
DPHC,DiamondPeak Holdings Corp,$362.6M,,,--,--
DPLS,Darkpulse Inc,$321.8K,Information Technology,"Electronic Equipment, Instruments & Components",--,-1.8
DPSI,DecisionPoint Systems Inc,$19.1M,Information Technology,IT Services,--,--
DPSM,3D Pioneer Systems Inc,$899.7K,Information Technology,Software,--,0.3
DPW,DPW Holdings Inc,$16.4M,Industrials,Electrical Equipment,--,3.8
DPWW,Diego Pellicer Worldwide Inc,$1.3M,,,--,-2.4
DPZ,"Domino's Pizza, Inc.",$15.0B,Consumer Discretionary,"Hotels, Restaurants & Leisure",0.80%,0.4
DQ,Daqo New Energy Corp (ADR),$1.5B,Information Technology,Semiconductors & Semiconductor Equipment,--,1.1
DQJCF,PAN PACIFIC INTL HLDGS CORP SHS,$11.1B,,,--,0.2
DQWS,DSwiss Inc,$413.8M,Consumer Staples,Personal Products,--,--
DRAD,Digirad Corporation,$13.6M,Health Care,Health Care Providers & Services,--,0.6
DRADP,Digirad Corp,--,Health Care,Health Care Providers & Services,--,--
DRD,DRDGOLD Ltd. (ADR),$1.1B,Materials,Metals & Mining,1.79%,1
DRDGF,DRDGOLD LIMITED SHS,$1.4B,,,1.88%,1.1
DRE,Duke Realty Corp,$13.7B,Real Estate,Equity Real Estate Investment Trusts (REITs),2.53%,0.6
DREM,Dream Homes & Development Corp,$1.4M,,,--,--
DRETF,DREAM OFFICE REAL EST INV TR,$839.4M,Real Estate,Equity Real Estate Investment Trusts (REITs),5.02%,0.9
DREUF,DREAM INDUSTRIAL REIT,$1.2B,Real Estate,Equity Real Estate Investment Trusts (REITs),6.50%,1.1
DRGV,Dragon Capital Group Corp.,$317.5K,,,--,--
DRH,DiamondRock Hospitality Company,$1.0B,Real Estate,Equity Real Estate Investment Trusts (REITs),--,1.6
DRI,"Darden Restaurants, Inc.",$9.9B,Consumer Discretionary,"Hotels, Restaurants & Leisure",--,1.3
DRIO,DarioHealth Corp,$28.5M,Health Care,Health Care Equipment & Supplies,--,0.5
DRNA,Dicerna Pharmaceuticals Inc,$1.7B,Health Care,Biotechnology,--,1.8
DRNG,Drone Guarder Inc,$57.3K,,,--,3.8
DRNK,NOHO Inc,$.0K,,,--,0.7
DROP,Fuse Science Inc,$788.0K,Consumer Staples,Personal Products,--,0.8
DRQ,"Dril-Quip, Inc.",$1.2B,Energy,Energy Equipment & Services,--,1.4
DRRX,DURECT Corporation,$404.8M,Health Care,Pharmaceuticals,--,2.1
DRSV,"Debt Resolve, Inc.",$495.1K,Financials,Consumer Finance,--,3.6
DRTGF,DART GROUP PLC SHS,$1.6B,,,1.71%,1.5
DRVD,Driven Deliveries Inc,$37.1M,,,--,--
DRWN,Quantum Medical Transport Inc,$1.0M,Health Care,Health Care Providers & Services,--,--
DRXGF,DRAX GROUP PLC SELBY SHS,$976.4M,,,7.98%,1.9
DS,Drive Shack Inc,$112.0M,Consumer Discretionary,"Hotels, Restaurants & Leisure",--,1.6
DS-B,Drive Shack Inc,--,Consumer Discretionary,"Hotels, Restaurants & Leisure",--,--
DS-C,Drive Shack Inc,--,Consumer Discretionary,"Hotels, Restaurants & Leisure",--,--
DS-D,Drive Shack Inc,--,Consumer Discretionary,"Hotels, Restaurants & Leisure",--,--
DSCR,Discovery Minerals Ltd,$1.2M,Materials,Metals & Mining,--,1.5
DSCVF,DISCOVERY CORP ENTERPRISES,$598.6K,Materials,Metals & Mining,--,0.5
DSDVF,DSV PANALPINA A/S SHS,$30.4B,,,0.28%,1
DSE,Duff & Phelps Selct Mlp Mdsm Egy Fd Inc,$13.9M,,,--,2.9
DSGT,DSG Global Inc,$553.7K,,,--,1
DSGX,Descartes Systems Group Inc (USA),$4.4B,Information Technology,Software,--,1.1
DSKE,Daseke Inc,$244.9M,Industrials,Road & Rail,--,2
DSL,DoubleLine Income Solutions Fund,$1.6B,,,11.62%,0.8
DSM,BNY Mellon Strategic Municipal BndFndInc,$371.2M,,,4.80%,0.2
DSOL,Drug Free Solution Inc,$120.0M,Health Care,Health Care Providers & Services,--,--
DSOX,Triton Emission Solutions Inc,$352.8K,Industrials,Commercial Services & Supplies,--,1.6
DSPA,Ankaa Corp,$34.5K,,,--,--
DSPG,"DSP Group, Inc.",$366.7M,Information Technology,Semiconductors & Semiconductor Equipment,--,0.9
DSRLF,DIASORIN S R L SHS,$11.1B,,,0.53%,0.2
DSS,"Document Security Systems, Inc.",$31.5M,Industrials,Commercial Services & Supplies,--,2.3
DSSI,Diamond S Shipping Inc,$342.2M,Energy,"Oil, Gas & Consumable Fuels",--,--
DSTR,DualStar Technologies Corporation,$24.2K,,,--,--
DSU,"BlackRock Debt Strategies Fund, Inc.",$449.1M,,,8.90%,0.7
DSWL,"Deswell Industries, Inc.",$39.0M,Information Technology,"Electronic Equipment, Instruments & Components",7.33%,0.5
DSWR,Deseo Swimwear Inc,--,,,--,--
DSX,Diana Shipping Inc,$125.0M,Industrials,Marine,--,1.3
DSX-B,Diana Shipping Inc,--,Industrials,Marine,9.99%,--
DT,Dynatrace Inc,$12.0B,Information Technology,Software,--,--
DTE,DTE Energy Co,$22.1B,Utilities,Multi-Utilities,3.54%,0.6
DTEA,DavidsTea Inc,$22.4M,Consumer Discretionary,Specialty Retail,--,2.9
DTEGY,Deutsche Telekom AG (ADR),$83.2B,Communication Services,Diversified Telecommunication Services,3.84%,0.6
DTF,DTF Tax Free Income Inc.,$122.5M,,,3.34%,0.2
DTGI,Digerati Technologies Inc,$3.0M,Communication Services,Diversified Telecommunication Services,--,1.4
DTHR,Dthera Sciences,$80.0K,,,--,--
DTII,Defense Technologies International Corp,$120.3K,Information Technology,"Electronic Equipment, Instruments & Components",--,-1.5
DTIL,Precision BioSciences Inc,$406.1M,Health Care,Biotechnology,--,--
DTLA-,Brookfield DTLA Fund Office Trust Investor Inc,--,Real Estate,Equity Real Estate Investment Trusts (REITs),--,--
DTRC,Dakota Territory Resource Corp,$28.1M,Materials,Metals & Mining,--,-1.5
DTRK,"DATATRAK International, Inc.",$10.5M,Health Care,Health Care Technology,--,1
DTRO,Deltron Inc,$33.6K,,,--,-0.4
DTSS,Datasea Inc,$39.4M,Information Technology,Software,--,0.9
DTST,Data Storage Corp,$19.2M,Information Technology,IT Services,--,1.1
DUAVF,DASSAULT AVIATION SA ORD,$7.8B,,,--,1
DUC,Duff & Phelps Utility & Corp Bond Trust,$256.5M,,,6.43%,0.3
DUK,Duke Energy Corp,$61.7B,Utilities,Electric Utilities,4.59%,0.3
DUO,Fangdd Network Group Ltd - ADR,$694.7M,Communication Services,Interactive Media & Services,--,--
DUOT,Duos Technologies Group Inc,$17.3M,Information Technology,Software,--,2.1
DUSCF,DEUTSCHE EUROSHOP AG NAMEN AKT,$1.8B,,,--,0.9
DUUO,Duo World Inc,$4.8M,,,--,--
DUVNF,PERUVIAN METALS CORP,$3.4M,Materials,Metals & Mining,--,1.6
DVA,Davita Inc,$10.7B,Health Care,Health Care Providers & Services,--,1.2
DVAX,Dynavax Technologies Corporation,$1.0B,Health Care,Biotechnology,--,1.2
DVCR,Diversicare Healthcare Services Inc,$8.2M,Health Care,Health Care Providers & Services,--,1
DVD,"Dover Motorsports, Inc.",$51.3M,Consumer Discretionary,"Hotels, Restaurants & Leisure",6.76%,0.5
DVLN,"DVL, Inc.",$13.2M,Financials,Thrifts & Mortgage Finance,--,--
DVLY,Deer Valley Corporation,$3.9M,Consumer Discretionary,Household Durables,--,0.2
DVN,Devon Energy Corp,$4.2B,Energy,"Oil, Gas & Consumable Fuels",3.97%,3.3
DVNHF,FRONTIER SVCS GROUP LTD SHS,$129.0M,,,--,0.8
DVSPF,DIVIDEND 15 SPLIT CORP CL A SHARES,$282.1M,,,20.05%,1.6
DWAHF,DAIWA HOUSE INDUSTRY CO LTD SHS,$18.5B,,,--,0.5
DWHHF,DEUTSCHE WOHNEN SE,$17.3B,Real Estate,Real Estate Management & Development,2.12%,0.2
DWIS,Dinewise Inc,$514.6K,Consumer Discretionary,"Hotels, Restaurants & Leisure",--,--
DWMNF,DOWA HOLDINGS CO LTD SHS,$480.4M,,,--,1.5
DWOG,"Deep Well Oil & Gas, Inc.",$4.6M,Energy,"Oil, Gas & Consumable Fuels",--,1.6
DWSN,Dawson Geophysical Co,$40.1M,Energy,Energy Equipment & Services,--,1.9
DWVYF,DERWENT VALLEY HOLDINGS PLC SHS,$4.0B,,,2.55%,0.6
DX,Dynex Capital Inc,$351.9M,Financials,Mortgage Real Estate Investment Trusts (REITs),10.02%,1.3
DX-B,Dynex Capital Inc,--,Financials,Mortgage Real Estate Investment Trusts (REITs),8.08%,--
DX-C,Dynex Capital Inc,--,Financials,Mortgage Real Estate Investment Trusts (REITs),7.73%,--
DXC,DXC Technology Co,$4.5B,Information Technology,IT Services,--,2.3
DXCM,"DexCom, Inc.",$39.5B,Health Care,Health Care Equipment & Supplies,--,0.8
DXF,Dunxin Financial Holdings Ltd (ADR),$14.2M,Financials,Diversified Financial Services,--,1.9
DXIEF,DXI Energy Inc,$2.5M,Energy,"Oil, Gas & Consumable Fuels",--,0.2
DXLG,Destination XL Group Inc,$23.0M,Consumer Discretionary,Specialty Retail,--,1.5
DXPE,DXP Enterprises Inc,$342.2M,Industrials,Trading Companies & Distributors,--,2.8
DXR,Daxor Corporation,$73.9M,Health Care,Health Care Equipment & Supplies,--,-0.8
DXYN,Dixie Group Inc,$14.2M,Consumer Discretionary,Household Durables,--,1.4
DY,"Dycom Industries, Inc.",$1.3B,Industrials,Construction & Engineering,--,1.5
DYAI,"Dyadic International, Inc.",$247.5M,Health Care,Biotechnology,--,0.5
DYFSF,DYNACERT INC,$139.5M,Industrials,Machinery,--,2.1
DYLLF,DEEP YELLOW LTD SHS,$46.0M,,,--,0.1
DYNA,Dynastar Holdings Inc,$706.3K,Utilities,Electric Utilities,--,--
DYNE,"DynTek, Inc",$23.1M,Information Technology,IT Services,--,--
DYNR,Dynaresource Inc,$9.6M,Materials,Metals & Mining,--,0.7
DYNT,Dynatronics Corporation,$12.7M,Health Care,Health Care Equipment & Supplies,--,-0.1
DYRFF,Dunes Exploration Ltd,$.0K,,,--,--
DYSL,Dynasil Corporation of America,$16.2M,Information Technology,"Electronic Equipment, Instruments & Components",--,0.2
DYXC,DiaSys Corporation,$2.6K,Health Care,Health Care Equipment & Supplies,--,--
DZSI,DASAN Zhone Solutions Inc,$209.8M,Information Technology,Communications Equipment,--,1.4
E,Eni SpA (ADR),$35.9B,Energy,"Oil, Gas & Consumable Fuels",9.38%,0.7
EA,Electronic Arts Inc.,$39.0B,Communication Services,Entertainment,--,0.9
EAATF,EARTHWORKS INDUSTRIES INC,$17.8M,Industrials,Commercial Services & Supplies,--,1.5
EAB,Entergy Arkansas LLC,$205.8M,,,4.82%,0.1
EACC,"Eautoclaims, Inc.",$22.7K,Financials,Insurance,--,--
EACO,EACO Corp,$73.2M,Information Technology,"Electronic Equipment, Instruments & Components",--,0.4
EAD,Wells Fargo Income Opportunities Fund,$437.7M,,,9.74%,0.7
EAF,GrafTech International Ltd,$1.7B,Industrials,Electrical Equipment,0.59%,--
EANRF,EASTMAIN RESOURCES INC,$35.2M,Materials,Metals & Mining,--,2
EAPH,Easton Pharmaceuticals Inc,$916.4K,Health Care,Pharmaceuticals,--,-2.4
EARN,Ellington Residential Mortgage REIT,$130.5M,Financials,Mortgage Real Estate Investment Trusts (REITs),10.46%,1.9
EARS,Auris Medical Holding Ltd,$4.6M,Health Care,Pharmaceuticals,--,0.6
EAST,Eastside Distilling Inc,$11.5M,Consumer Staples,Beverages,--,1.7
EAT,"Brinker International, Inc.",$1.2B,Consumer Discretionary,"Hotels, Restaurants & Leisure",--,2.2
EATR,Eastern Asteria Inc,$470.9K,Consumer Discretionary,Internet & Direct Marketing Retail,--,--
EAUI,"EAU Technologies, Inc.",$2.0M,Industrials,Machinery,--,-0.2
EAWC,Ecco Auto World Corp,--,,,--,--
EAWD,Energy & Water Development Corp,$49.3M,Industrials,Machinery,--,4.7
EB,Eventbrite Inc,$776.4M,Communication Services,Interactive Media & Services,--,--
EBAY,eBay Inc,$38.7B,Consumer Discretionary,Internet & Direct Marketing Retail,1.14%,1.4
EBCOF,EBARA CORP SHS,$2.2B,,,--,1.6
EBCOY,Ebara Corporation (ADR),$2.4B,,,--,1.6
EBDC,"ebank Financial Services, Inc.",$.0K,,,--,--
EBF,"Ennis, Inc.",$455.2M,Industrials,Commercial Services & Supplies,5.17%,0.4
EBIX,Ebix Inc,$691.0M,Information Technology,Software,1.32%,2.1
EBML,eBullion Inc,$9.6M,,,--,3.4
EBMT,Eagle Bancorp Montana Inc,$106.4M,Financials,Banks,2.35%,0.7
EBODF,New Energy Exchange Ltd,$337.5K,Industrials,Electrical Equipment,--,0.6
EBON,Ebang International Holdings Inc,$575.2M,,,--,--
EBRPF,EBRO FOODS SA SHS,$3.3B,,,3.10%,0
EBS,Emergent Biosolutions Inc,$4.7B,Health Care,Biotechnology,--,1.3
EBSB,Meridian Bancorp Inc (MARYLAND),$631.0M,Financials,Thrifts & Mortgage Finance,2.65%,0.9
EBTC,"Enterprise Bancorp, Inc",$264.1M,Financials,Banks,3.17%,0.5
EBYH,Strainsforpains Inc,$1.1M,Energy,"Oil, Gas & Consumable Fuels",--,2.9
EC,Ecopetrol SA (ADR),$24.9B,Energy,"Oil, Gas & Consumable Fuels",7.25%,1.8
ECAOF,ECO (ATLANTIC) OIL & GAS LTD,$46.2M,Energy,"Oil, Gas & Consumable Fuels",--,2.4
ECCB,Eagle Point Credit Company Inc,--,,,7.97%,--
ECCE,Eagle Ford Oil & Gas Corp,$1.7M,Energy,"Oil, Gas & Consumable Fuels",--,0.9
ECDD,Ecrid Inc,$10.5M,,,--,0.3
ECDP,Eco Depot Inc,$2.0K,,,--,-1
ECEZ,Ecosciences Inc,$63.0K,,,--,-0.9
ECF,Ellsworth Growth and Income Fund Ltd,$153.8M,,,4.41%,1.1
ECF-A,Ellsworth Growth and Income Fund Ltd,--,,,5.07%,--
ECGI,ECGI Holdings Inc,$3.4M,Health Care,Health Care Equipment & Supplies,--,-4.8
ECGP,Envit Capital Group Inc,$.0K,Financials,Capital Markets,--,--
ECHO,"Echo Global Logistics, Inc.",$695.2M,Industrials,Air Freight & Logistics,--,1.4
ECIA,Encision Inc,$6.9M,Health Care,Health Care Equipment & Supplies,--,-0.3
ECIFF,ELECTRICITE DE FRANCE EDF SHS,$34.4B,,,3.07%,0.9
ECIGQ,Electronic Cigarettes Intl Group Ltd,$58.4K,Consumer Staples,Tobacco,--,5.2
ECL,Ecolab Inc.,$60.6B,Materials,Chemicals,0.89%,1
ECMH,Encompass Holdings Inc.,$74.2K,Consumer Discretionary,Leisure Products,--,--
ECMT,Ecomat Inc,$952.5K,,,--,0.6
ECNRF,WORLDWIDE RESOURCES CORP,$185.1K,Materials,Metals & Mining,--,3
ECOL,US Ecology Inc,$1.1B,Industrials,Commercial Services & Supplies,--,0.9
ECOM,ChannelAdvisor Corp,$422.4M,Information Technology,Software,--,0.9
ECOP,Eco-Shift Power Corp,$7.8K,Industrials,Trading Companies & Distributors,--,--
ECOR,"electroCore, Inc.",$60.6M,Health Care,Health Care Equipment & Supplies,--,--
ECOS,Ecolocap Solutions Inc.,$1.1M,Industrials,Electrical Equipment,--,--
ECPG,"Encore Capital Group, Inc.",$1.1B,Financials,Consumer Finance,--,1.5
ECPN,"El Capitan Precious Metals, Inc.",$4.3M,Materials,Metals & Mining,--,1.2
ECRD,Ecard Inc,$32.2M,,,--,--
ECRFF,CARTIER RESOURCES INC,$40.3M,Materials,Metals & Mining,--,1.6
ECRO,ECC Capital Corporation,$6.3M,Financials,Mortgage Real Estate Investment Trusts (REITs),--,0
ECRP,Chee Corp,$25.7M,,,--,--
ECRTF,ATEX RESOURCES INC,$2.3M,Materials,Metals & Mining,--,2.4
ECSNF,ECOSYNTHETIX INC,$86.8M,Materials,Chemicals,--,1.1
ECT,Eca Marcellus Trust I,$7.3M,Energy,"Oil, Gas & Consumable Fuels",--,2
ECTE,Echo Therapeutics Inc,$156.1K,Health Care,Health Care Equipment & Supplies,--,7.3
ECVTF,ECONOMIC INVT TR LTD COM,$401.2M,,,1.23%,0.9
ECXJ,Cxj Group Co Ltd,$300.4M,,,--,--
ED,"Consolidated Edison, Inc.",$25.5B,Utilities,Multi-Utilities,4.04%,0.2
EDAP,Edap Tms SA (ADR),$95.8M,Health Care,Health Care Equipment & Supplies,--,1.7
EDD,Mrgn Stnly Emrgng Mrkts Dmtc Dbt Fnd Inc,$381.4M,,,8.48%,0.9
EDF,Stone Harbor Emerging Markets Income Fnd,$114.6M,,,13.79%,1
EDHD,"Edd Helms Group, Inc.",$6.0M,Industrials,Commercial Services & Supplies,--,--
EDIT,Editas Medicine Inc,$1.9B,Health Care,Biotechnology,--,2
EDMCQ,Education Management Corp,$365.6K,Consumer Discretionary,Diversified Consumer Services,--,2.6
EDN,Empresa Distribuidora y Cmrz Nrt SA(ADR),$92.4M,Utilities,Electric Utilities,--,1
EDNMF,EDENRED MALAKOFF SHS,$12.2B,,,1.53%,1
